"","A","B","C","D","E","F"
"","","FAM187B","","","",""
"","","LINC01531","","","",""
"","","KLK5","","","",""
"","","CTB-147C22.6","","","",""
"","","TMEM190","","","",""
"","","PDYN","","","",""
"","","RP4-697P8.3","","","",""
"","","C20orf187","","","",""
"","","BANF2","","","",""
"","","RP5-1002M8.4","","","",""
"","","BPIFB1","","","",""
"","","C20orf144","","","",""
"","","WFDC5","","","",""
"","","TP53TG5","","","",""
"","","LINC00494","","","",""
"","","RP5-1022J11.2","","","",""
"","","LKAAEAR1","","","",""
"","","LINC00479","","","",""
"","","CCT8L2","","","",""
"","","XKR3","","","",""
"","","LL22NC03-104C7.1","","","",""
"","","TEX33","","","",""
"","","LINC01589","","","",""
"","","RP6-99M1.1","","","",""
